استان,۱۳۹۵-توزیع,۱۳۹۵-رتبه,۱۳۹۶-جمعیت,۱۳۹۶-رتبه,۱۳۹۷-جمعیت,۱۳۹۷-رتبه,۱۳۹۸-جمعیت,۱۳۹۸-رتبه,۱۳۹۹ -جمعیت,۱۳۹۹ -رتبه
کل کشور ,100.0,××,100.0,××,100.0,××,100.0,××,100/0,××
آذربايجان شرقي,4.9,6,4.9,6,4.9,6,4.8,6,4.8,6
آذربايجان غربي,4.1,8,4.1,7,4.1,7,4.1,7,4.1,7
اردبيل,1.6,22,1.6,22,1.6,22,1.6,22,1.6,22
اصفهان,6.4,3,6.4,3,6.4,3,6.4,3,6.4,3
البرز,3.4,11,3.4,11,3.4,11,3.4,11,3.5,11
ايلام,0.7,31,0.7,31,0.7,31,0.7,31,0.7,31
بوشهر,1.5,23,1.5,23,1.5,23,1.5,23,1.5,23
تهران,16.6,1,16.6,1,16.6,1,16.6,1,16.6,1
چهارمحال و بختياري,1.2,26,1.2,26,1.2,26,1.2,26,1.2,26
خراسان جنوبي,1.0,28,1.0,28,1.0,28,1.0,28,1.0,28
خراسان رضوي,8.1,2,8.1,2,8.1,2,8.1,2,8.2,2
خراسان شمالي,1.1,27,1.1,27,1.1,27,1.1,27,1.1,27
خوزستان,5.9,5,5.9,5,5.9,5,5.9,5,5.9,5
زنجان,1.3,25,1.3,25,1.3,25,1.3,25,1.3,25
سمنان,0.9,30,0.9,30,0.9,29,0.9,29,0.9,29
سيستان و بلوچستان,3.5,10,3.5,10,3.5,10,3.6,10,3.6,10
فارس,6.1,4,6.1,4,6.1,4,6.0,4,6.0,4
قزوين,1.6,21,1.6,21,1.6,21,1.6,21,1.6,21
قم,1.6,20,1.6,20,1.6,20,1.7,20,1.7,20
كردستان,2.0,18,2.0,18,2.0,18,2.0,18,2.0,18
كرمان,4.0,9,4.0,9,4.0,9,4.0,9,4.0,9
كرمانشاه,2.4,13,2.4,13,2.4,13,2.4,13,2.4,13
كهگيلويه و بويراحمد,0.9,29,0.9,29,0.9,29,0.9,30,0.9,30
گلستان,2.3,14,2.3,14,2.3,14,2.3,14,2.4,14
گيلان,3.2,12,3.1,12,3.1,12,3.1,12,3.1,12
لرستان,2.2,16,2.2,16,2.2,16,2.2,16,2.1,16
مازندران,4.1,7,4.1,8,4.1,8,4.1,8,4.0,8
مركزي,1.8,19,1.8,19,1.8,19,1.8,19,1.8,19
هرمزگان,2.2,15,2.2,15,2.2,15,2.3,15,2.3,15
همدان,2.2,17,2.2,17,2.2,17,2.1,17,2.1,17
يزد,1.4,24,1.4,24,1.4,24,1.5,24,1.5,24